iter	Passed	Remaining
546	988	818
547	989	815
548	990	813
549	991	811
550	992	809
551	994	806
552	995	804
553	996	802
554	997	800
555	999	797
556	1000	795
557	1001	793
558	1003	791
559	1004	789
560	1005	787
561	1007	784
562	1008	782
563	1009	780
564	1011	778
565	1012	776
566	1013	774
567	1014	771
568	1016	769
569	1017	767
570	1018	765
571	1019	763
572	1021	760
573	1022	758
574	1023	756
575	1024	754
576	1025	752
577	1026	749
578	1028	747
579	1029	745
580	1030	742
581	1031	740
582	1032	738
583	1033	736
584	1034	733
585	1035	731
586	1036	729
587	1038	727
588	1039	725
589	1040	723
590	1041	721
591	1043	718
592	1044	716
593	1045	714
594	1046	712
595	1048	710
596	1049	708
597	1050	705
598	1051	703
599	1052	701
600	1053	699
601	1054	697
602	1055	694
603	1056	692
604	1057	690
605	1058	688
606	1059	686
607	1060	683
608	1061	681
609	1062	679
610	1063	677
611	1064	675
612	1065	672
613	1066	670
614	1067	668
615	1068	666
616	1069	664
617	1070	661
618	1071	659
619	1073	657
620	1074	655
621	1075	653
622	1076	651
623	1077	649
624	1078	647
625	1080	645
626	1081	643
627	1082	641
628	1083	639
629	1085	637
630	1086	635
631	1087	633
632	1088	631
633	1090	629
634	1091	627
635	1092	625
636	1093	623
637	1095	621
638	1096	619
639	1098	617
640	1099	615
641	1100	613
642	1101	611
643	1102	609
644	1103	607
645	1104	605
646	1106	603
647	1107	601
648	1108	599
649	1109	597
650	1110	595
651	1111	593
652	1112	591
653	1113	589
654	1114	587
655	1115	585
656	1117	583
657	1118	581
658	1119	579
659	1120	577
660	1121	575
661	1122	573
662	1123	571
663	1124	569
664	1125	567
665	1126	565
666	1127	563
667	1128	561
668	1129	558
669	1130	556
670	1131	554
671	1132	552
672	1133	550
673	1134	548
674	1136	546
675	1137	545
676	1138	543
677	1139	541
678	1140	539
679	1142	537
680	1143	535
681	1144	533
682	1145	531
683	1146	529
684	1147	527
685	1148	525
686	1149	523
687	1151	522
688	1152	520
689	1153	518
690	1155	516
691	1156	514
692	1158	513
693	1159	511
694	1160	509
695	1161	507
696	1162	505
697	1163	503
698	1165	501
699	1166	500
700	1168	498
701	1169	496
702	1170	494
703	1172	492
704	1173	490
705	1174	488
706	1175	487
707	1176	485
708	1178	483
709	1179	481
710	1180	479
711	1181	478
712	1183	476
713	1184	474
714	1185	472
715	1187	470
716	1188	468
717	1189	467
718	1190	465
719	1191	463
720	1192	461
721	1193	459
722	1194	457
723	1195	455
724	1196	454
725	1198	452
726	1199	450
727	1200	448
728	1201	446
729	1202	444
730	1203	442
731	1204	440
732	1205	439
733	1206	437
734	1207	435
735	1208	433
736	1209	431
737	1210	429
738	1211	428
739	1213	426
740	1214	424
741	1215	422
742	1216	420
743	1217	418
744	1218	417
745	1219	415
746	1220	413
747	1221	411
748	1223	409
749	1224	408
750	1225	406
751	1226	404
752	1227	402
753	1229	401
754	1230	399
755	1231	397
756	1232	395
757	1233	393
758	1234	391
759	1235	390
760	1236	388
761	1237	386
762	1238	384
763	1239	382
764	1240	381
765	1241	379
766	1242	377
767	1243	375
768	1244	373
769	1246	372
770	1247	370
771	1248	368
772	1249	366
773	1250	365
774	1251	363
775	1252	361
776	1253	359
777	1254	357
778	1255	356
779	1256	354
780	1257	352
781	1258	350
782	1259	349
783	1260	347
784	1261	345
785	1263	343
786	1264	342
787	1265	340
788	1266	338
789	1267	336
790	1268	335
791	1270	333
792	1271	331
793	1272	330
794	1273	328
795	1274	326
796	1275	324
797	1276	323
798	1277	321
799	1279	319
800	1280	318
801	1281	316
802	1282	314
803	1283	312
804	1284	311
805	1285	309
806	1286	307
807	1288	306
808	1289	304
809	1290	302
810	1291	300
811	1292	299
812	1294	297
813	1295	295
814	1296	294
815	1297	292
816	1299	290
817	1300	289
818	1301	287
819	1302	285
820	1303	284
821	1304	282
822	1305	280
823	1306	279
824	1308	277
825	1309	275
826	1310	274
827	1311	272
828	1312	270
829	1313	268
830	1314	267
831	1315	265
832	1316	263
833	1317	262
834	1318	260
835	1319	258
836	1320	257
837	1321	255
838	1322	253
839	1323	252
840	1324	250
841	1325	248
842	1326	247
843	1327	245
844	1328	243
845	1329	242
846	1330	240
847	1331	238
848	1332	237
849	1333	235
850	1335	233
851	1336	232
852	1337	230
853	1338	228
854	1339	227
855	1340	225
856	1341	223
857	1342	222
858	1343	220
859	1344	218
860	1345	217
861	1346	215
862	1347	213
863	1348	212
864	1349	210
865	1350	209
866	1352	207
867	1353	205
868	1354	204
869	1355	202
870	1356	200
871	1357	199
872	1358	197
873	1359	196
874	1360	194
875	1361	192
876	1362	191
877	1363	189
878	1364	187
879	1365	186
880	1366	184
881	1367	182
882	1368	181
883	1370	179
884	1371	178
885	1372	176
886	1373	174
887	1374	173
888	1375	171
889	1376	170
890	1377	168
891	1378	166
892	1379	165
893	1380	163
894	1381	162
895	1382	160
896	1383	158
897	1384	157
898	1385	155
899	1386	154
900	1387	152
901	1388	150
902	1389	149
903	1390	147
904	1391	146
905	1392	144
906	1393	142
907	1394	141
908	1395	139
909	1396	138
910	1397	136
911	1398	134
912	1399	133
913	1400	131
914	1401	130
915	1402	128
916	1403	127
917	1404	125
918	1405	123
919	1406	122
920	1407	120
921	1408	119
922	1409	117
923	1411	116
924	1412	114
925	1413	112
926	1414	111
927	1415	109
928	1417	108
929	1418	106
930	1419	105
931	1420	103
932	1421	102
933	1422	100
934	1423	98
935	1424	97
936	1426	95
937	1427	94
938	1428	92
939	1430	91
940	1431	89
941	1432	88
942	1433	86
943	1434	85
944	1435	83
945	1437	82
946	1438	80
947	1439	78
948	1440	77
949	1441	75
950	1443	74
951	1444	72
952	1445	71
953	1446	69
954	1447	68
955	1448	66
956	1449	65
957	1450	63
958	1451	62
959	1452	60
960	1454	59
961	1455	57
962	1456	55
963	1457	54
964	1458	52
965	1459	51
966	1460	49
967	1461	48
968	1462	46
969	1463	45
970	1464	43
971	1465	42
972	1466	40
973	1467	39
974	1468	37
975	1469	36
976	1470	34
977	1471	33
978	1473	31
979	1474	30
980	1475	28
981	1476	27
982	1477	25
983	1478	24
984	1479	22
985	1480	21
986	1481	19
987	1482	18
988	1484	16
989	1485	15
990	1486	13
991	1487	11
992	1488	10
993	1489	8
994	1490	7
995	1491	5
996	1492	4
997	1493	2
998	1495	1
999	1496	0
